(780, 207),(830, 207)
(780, 267),(830, 267)
(780, 307),(830, 307)
(780, 367),(830, 367)
(780, 417),(830, 417)
(780, 457),(830, 457)
(780, 507),(830, 507)
(780, 567),(830, 567)
(1015, 616),(1003, 564)
(835, 588),(811, 628)
(875, 633),(873, 578)
(936, 567),(946, 624)
(1049, 552),(1089, 579)
(1117, 533),(1072, 485)
(1130, 436),(1153, 489)
(1213, 475),(1213, 421)
(1276, 437),(1307, 482)
(1281, 409),(1330, 414)
(1321, 339),(1380, 338)
(1290, 307),(1323, 265)
(1206, 269),(1225, 221)
(1104, 223),(1125, 170)
(1022, 187),(1041, 134)
(924, 148),(949, 101)
(843, 113),(861, 61)
(762, 81),(773, 23)
(726, 66),(679, 13)
(684, 114),(668, 61)
(592, 124),(573, 70)
(519, 147),(477, 102)
(454, 189),(411, 156)
(391, 242),(345, 209)
(337, 287),(297, 254)
(245, 296),(277, 340)
(195, 337),(227, 383)
(155, 378),(197, 416)
(165, 458),(118, 431)
(85, 470),(124, 509)
(84, 562),(37, 538)
(8, 599),(70, 583)
(68, 637),(113, 601)
(121, 633),(100, 683)
(153, 692),(156, 641)
(197, 644),(202, 697)
(257, 651),(211, 648)
(263, 604),(213, 604)
(263, 554),(213, 554)
(263, 504),(213, 504)
(263, 454),(213, 454)
(273, 423),(231, 392)
(306, 397),(274, 353)
(338, 360),(312, 317)
(377, 353),(377, 301)
(419, 350),(419, 298)
(433, 351),(481, 306)
(431, 388),(485, 390)
(459, 449),(484, 402)
(518, 458),(520, 400)
(557, 403),(581, 458)
(618, 409),(565, 393)
(618, 350),(563, 350)
(618, 300),(563, 300)
(618, 250),(565, 250)
(618, 200),(565, 180)
(633, 142),(659, 191)
(695, 178),(675, 133)
(745, 163),(732, 112)
(779, 157),(819, 120)
